County,State,State_FIPS,County_FIPS,high_school_and_above_percentage,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Abbeville County,South Carolina,45,1,11.7,19.7,17759.0,25387.0,14.7,20.8,221.0,593.0,78.6,0.4337,18.0,15.5,13.7,35067.0,17759.0,17876.0,25387.0,90300.0,7144.0,10.2,2012
Acadia Parish,Louisiana,22,1,9.3,17.9,48543.0,61611.0,10.9,19.1,339.0,541.0,75.2,0.4421,136.0,16.5,8.6,38686.0,48543.0,19369.0,61611.0,88900.0,11184.0,9.9,2012
Accomack County,Virginia,51,1,17.3,11.8,22586.0,33454.0,17.5,20.2,199.0,741.0,79.1,0.4717,112.0,19.1,7.0,40780.0,22586.0,22909.0,33454.0,153800.0,9620.0,8.0,2012
Ada County,Idaho,16,1,37.8,9.6,363070.0,394961.0,9.3,12.2,4338.0,821.0,76.1,0.434,2117.0,13.5,8.5,55499.0,363070.0,27522.0,394961.0,193300.0,4057.0,9.2,2012
Adair County,Iowa,19,1,11.5,13.7,7457.0,7628.0,18.6,9.9,43.0,511.0,80.1,0.4024,12.0,6.3,4.0,47872.0,7457.0,25147.0,7628.0,96700.0,11.0,7.1,2012
Adair County,Kentucky,21,1,10.8,18.1,17806.0,18651.0,14.4,20.6,128.0,442.0,79.1,0.4545,6.0,20.6,10.7,31169.0,17806.0,16824.0,18651.0,78900.0,536.0,11.4,2012
Adair County,Missouri,29,1,25.4,12.7,24094.0,25542.0,11.4,24.7,293.0,531.0,81.6,0.4825,83.0,13.7,7.1,33284.0,24094.0,18331.0,25542.0,99300.0,492.0,24.1,2012
Adair County,Oklahoma,40,1,8.5,21.8,10287.0,22470.0,12.2,24.9,175.0,502.0,74.8,0.4348,8077.0,29.2,7.7,31287.0,10287.0,14855.0,22470.0,74600.0,67.0,8.2,2012
Adams County,Colorado,8,1,20.5,9.5,351099.0,442996.0,7.3,14.2,5251.0,947.0,74.0,0.3984,4751.0,21.0,9.5,56633.0,351099.0,24357.0,442996.0,188100.0,14084.0,9.5,2012
Adams County,Idaho,16,3,20.4,22.7,3780.0,3976.0,23.3,13.8,28.0,564.0,84.2,0.4285,81.0,24.8,10.0,35756.0,3780.0,20462.0,3976.0,142900.0,0.0,7.8,2012
Adams County,Illinois,17,1,21.0,13.9,62707.0,67098.0,15.5,13.6,594.0,598.0,78.7,0.4381,72.0,8.9,6.6,45691.0,62707.0,24631.0,67098.0,102500.0,2418.0,9.6,2012
Adams County,Indiana,18,1,15.3,9.8,33380.0,34343.0,11.7,16.6,92.0,560.0,71.2,0.3836,66.0,24.7,7.8,45339.0,33380.0,19881.0,34343.0,113500.0,123.0,8.7,2012
Adams County,Iowa,19,3,15.6,13.8,3944.0,4027.0,20.6,11.2,25.0,443.0,81.7,0.4564,6.0,7.9,4.3,45099.0,3944.0,25709.0,4027.0,88100.0,12.0,6.6,2012
Adams County,Mississippi,28,1,14.2,17.2,12794.0,32391.0,12.9,28.6,250.0,606.0,80.3,0.5047,66.0,19.1,10.4,27486.0,12794.0,17585.0,32391.0,81800.0,18739.0,8.3,2012
Adams County,Nebraska,31,1,20.7,11.4,29659.0,31299.0,12.9,12.4,199.0,616.0,78.1,0.4312,126.0,12.8,5.4,49017.0,29659.0,24866.0,31299.0,96900.0,204.0,12.6,2012
Adams County,North Dakota,38,1,18.9,13.9,2269.0,2325.0,24.1,10.5,14.0,417.0,85.2,0.4312,31.0,14.0,2.5,42830.0,2269.0,26655.0,2325.0,89000.0,1.0,8.6,2012
Adams County,Ohio,39,1,9.5,20.8,27875.0,28524.0,13.9,23.1,251.0,522.0,76.7,0.4554,70.0,18.3,16.1,34282.0,27875.0,18238.0,28524.0,94600.0,89.0,7.9,2012
Adams County,Pennsylvania,42,1,19.1,13.2,93884.0,101352.0,14.5,8.5,733.0,798.0,80.1,0.3994,134.0,9.0,5.7,58465.0,93884.0,26986.0,101352.0,204000.0,1607.0,10.2,2012
Adams County,Washington,53,1,12.5,11.4,11632.0,18575.0,9.5,23.1,273.0,582.0,68.0,0.4038,167.0,23.7,12.3,41798.0,11632.0,16539.0,18575.0,131600.0,24.0,10.5,2012
Adams County,Wisconsin,55,1,11.0,19.2,19488.0,20898.0,21.8,11.6,113.0,656.0,86.6,0.3823,124.0,9.3,10.6,42781.0,19488.0,21683.0,20898.0,135900.0,665.0,6.0,2012
Addison County,Vermont,50,1,31.5,12.3,35217.0,36814.0,12.7,11.1,369.0,877.0,81.9,0.4142,114.0,8.3,6.9,57785.0,35217.0,28550.0,36814.0,235500.0,320.0,13.2,2012
Aiken County,South Carolina,45,3,24.6,13.6,111591.0,160169.0,14.2,18.9,1076.0,684.0,78.8,0.4639,413.0,15.6,9.6,44399.0,111591.0,24677.0,160169.0,124900.0,39908.0,9.2,2012
Aitkin County,Minnesota,27,1,15.0,18.6,15432.0,16166.0,27.0,12.6,105.0,613.0,84.3,0.4277,262.0,9.8,10.1,41191.0,15432.0,24593.0,16166.0,173400.0,76.0,5.2,2012
Alachua County,Florida,12,1,42.4,10.3,174623.0,247973.0,9.6,23.8,3489.0,895.0,83.3,0.5101,570.0,16.2,7.9,42818.0,174623.0,25287.0,247973.0,176300.0,49795.0,22.8,2012
Alamance County,North Carolina,37,1,22.9,14.1,105718.0,151170.0,12.7,17.3,1363.0,724.0,77.6,0.4427,374.0,16.4,9.4,44155.0,105718.0,23517.0,151170.0,136500.0,27279.0,10.5,2012
Alameda County,California,6,1,41.1,9.2,695847.0,1515136.0,9.8,12.0,21987.0,1265.0,79.2,0.4634,8456.0,12.4,9.9,71516.0,695847.0,35434.0,1515136.0,514900.0,185614.0,10.2,2012
Alamosa County,Colorado,8,3,20.3,15.3,12652.0,15750.0,10.2,21.8,270.0,585.0,78.3,0.5004,182.0,13.9,10.1,38045.0,12652.0,19657.0,15750.0,133200.0,115.0,16.5,2012
Albany County,New York,36,1,39.2,11.3,237873.0,304511.0,11.9,13.1,3797.0,890.0,81.6,0.4456,593.0,7.2,7.0,59359.0,237873.0,31924.0,304511.0,210200.0,38343.0,13.8,2012
Albany County,Wyoming,56,1,49.3,8.8,32215.0,36186.0,7.8,26.2,476.0,710.0,85.5,0.4983,241.0,11.0,4.5,42882.0,32215.0,25311.0,36186.0,199900.0,372.0,30.5,2012
Albemarle County,Virginia,51,3,54.0,9.5,81403.0,99484.0,12.8,8.9,981.0,1080.0,79.8,0.489,313.0,9.5,4.4,67797.0,81403.0,37837.0,99484.0,332400.0,9751.0,13.2,2012
Alcona County,Michigan,26,1,14.1,21.8,10719.0,10943.0,31.5,15.1,10.0,583.0,87.2,0.4249,33.0,12.5,14.6,36931.0,10719.0,22069.0,10943.0,110200.0,18.0,4.9,2012
Alcorn County,Mississippi,28,3,17.5,20.7,31735.0,37027.0,13.8,19.4,270.0,576.0,77.1,0.4673,81.0,15.2,11.2,32846.0,31735.0,19003.0,37027.0,86300.0,4341.0,8.7,2012
Aleutians East Borough,Alaska,2,13,13.4,6.4,721.0,3114.0,3.3,16.5,11.0,847.0,94.3,0.392,570.0,66.2,3.1,58125.0,721.0,24932.0,3114.0,120900.0,417.0,14.5,2012
Aleutians West Census Area,Alaska,2,16,10.3,7.3,1860.0,5507.0,6.4,10.5,37.0,1210.0,89.2,0.3772,837.0,28.0,3.6,77292.0,1860.0,32014.0,5507.0,204700.0,326.0,13.4,2012
Alexander County,Illinois,17,3,8.3,22.6,5012.0,8147.0,14.9,31.1,47.0,341.0,79.2,0.4569,24.0,17.6,14.6,27248.0,5012.0,14222.0,8147.0,58000.0,2833.0,9.9,2012
Alexander County,North Carolina,37,3,10.2,16.1,32871.0,37014.0,13.8,18.3,195.0,577.0,80.2,0.4494,87.0,16.5,11.7,39544.0,32871.0,20626.0,37014.0,122200.0,2021.0,7.9,2012
Alexandria City,Virginia,51,510,60.8,6.3,89211.0,140337.0,8.1,8.0,3915.0,1440.0,83.5,0.4486,552.0,13.7,5.1,83996.0,89211.0,54767.0,140337.0,475900.0,30599.0,6.9,2012
