County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Abbeville County,South Carolina,45,1,583.0,79.8,17417.0,25100.0,16.2,109.0,35409.0,0.428,40.0,25100.0,89000.0,7233.0,10.0,17417.0,18303.0,2014
Acadia Parish,Louisiana,22,1,536.0,75.4,48993.0,62031.0,11.4,465.0,37684.0,0.4636,97.0,62031.0,88500.0,10937.0,9.7,48993.0,20264.0,2014
Accomack County,Virginia,51,1,715.0,79.7,22736.0,33165.0,18.5,210.0,39389.0,0.4721,105.0,33165.0,152500.0,9495.0,8.0,22736.0,23206.0,2014
Ada County,Idaho,16,1,844.0,76.4,374848.0,409239.0,10.3,4311.0,55805.0,0.4458,2313.0,409239.0,183300.0,4336.0,9.1,374848.0,28318.0,2014
Adair County,Iowa,19,1,552.0,81.7,7447.0,7543.0,19.3,38.0,47264.0,0.3919,4.0,7543.0,88900.0,36.0,7.7,7447.0,25657.0,2014
Adair County,Kentucky,21,1,498.0,80.8,18061.0,19032.0,14.6,121.0,34490.0,0.4393,12.0,19032.0,80100.0,520.0,14.3,18061.0,17772.0,2014
Adair County,Missouri,29,1,573.0,82.9,24099.0,25642.0,12.2,323.0,34976.0,0.4805,102.0,25642.0,102700.0,538.0,25.4,24099.0,19076.0,2014
Adair County,Oklahoma,40,1,529.0,75.0,10086.0,22380.0,12.7,191.0,33325.0,0.4509,8693.0,22380.0,74700.0,72.0,8.6,10086.0,15692.0,2014
Adams County,Colorado,8,1,1003.0,74.2,376581.0,461558.0,7.8,5589.0,57421.0,0.4047,4758.0,461558.0,189400.0,14816.0,9.3,376581.0,24667.0,2014
Adams County,Idaho,16,3,554.0,82.0,3728.0,3908.0,24.0,23.0,38583.0,0.443,56.0,3908.0,142800.0,0.0,6.5,3728.0,21275.0,2014
Adams County,Illinois,17,1,588.0,78.9,62508.0,67113.0,15.9,674.0,45472.0,0.4265,83.0,67113.0,106500.0,2480.0,9.3,62508.0,24247.0,2014
