County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,76.3458016126412,01,001,147900.0
Baldwin County,Alabama,78.1131187069305,01,003,189800.0
Barbour County,Alabama,74.7743309934985,01,005,92900.0
Bibb County,Alabama,73.7903133744892,01,007,96500.0
Blount County,Alabama,75.013449464969,01,009,124700.0
Bullock County,Alabama,73.6842860486569,01,011,77500.0
Butler County,Alabama,73.9019445955979,01,013,88300.0
Calhoun County,Alabama,73.4088629777792,01,015,113800.0
Chambers County,Alabama,74.5258741295021,01,017,88400.0
Cherokee County,Alabama,74.4293661472186,01,019,123100.0
Chilton County,Alabama,74.3574576379216,01,021,102200.0
Choctaw County,Alabama,74.5791676770029,01,023,75200.0
Clarke County,Alabama,74.8950304256062,01,025,100800.0
Clay County,Alabama,74.5316289536644,01,027,102200.0
Cleburne County,Alabama,74.3862420952093,01,029,112000.0
Coffee County,Alabama,76.3613073583135,01,031,149100.0
Colbert County,Alabama,74.531880399761,01,033,113500.0
Conecuh County,Alabama,73.5208362803517,01,035,76600.0
Coosa County,Alabama,75.5688098046964,01,037,87900.0
Covington County,Alabama,74.094051609186,01,039,95500.0
Crenshaw County,Alabama,74.1434109951944,01,041,79500.0
Cullman County,Alabama,74.4187888904678,01,043,124100.0
Dale County,Alabama,75.6212203924387,01,045,110100.0
Dallas County,Alabama,72.300300454957,01,047,82600.0
DeKalb County,Alabama,74.664298896307,01,049,102700.0
Elmore County,Alabama,76.0666411732753,01,051,161100.0
Escambia County,Alabama,73.1785510386588,01,053,98200.0
Etowah County,Alabama,73.310801891145,01,055,109900.0
Fayette County,Alabama,73.7501826390878,01,057,83800.0
Franklin County,Alabama,73.6994529156054,01,059,87800.0
Geneva County,Alabama,74.2429861050731,01,061,92300.0
Greene County,Alabama,74.0541627291715,01,063,66400.0
Hale County,Alabama,73.8211347225773,01,065,92700.0
Henry County,Alabama,75.5345409164455,01,067,115100.0
Houston County,Alabama,76.2003724907021,01,069,130500.0
Jackson County,Alabama,73.4860798339663,01,071,105300.0
Jefferson County,Alabama,74.8266754858777,01,073,154400.0
Lamar County,Alabama,74.6405751275356,01,075,77200.0
Lauderdale County,Alabama,76.2332477342409,01,077,136400.0
Lawrence County,Alabama,73.8448626457253,01,079,107200.0
Lee County,Alabama,77.6449270835747,01,081,165000.0
Limestone County,Alabama,77.5937481419663,01,083,152900.0
Lowndes County,Alabama,72.0555793694128,01,085,66300.0
Macon County,Alabama,73.143855116616,01,087,79500.0
Madison County,Alabama,77.6056196958447,01,089,180600.0
Marengo County,Alabama,73.5140531961641,01,091,90000.0
Marion County,Alabama,74.2254868593688,01,093,86500.0
Marshall County,Alabama,74.360519855914,01,095,122500.0
Mobile County,Alabama,74.9863591340308,01,097,126600.0
Monroe County,Alabama,74.9978896242308,01,099,103000.0
Montgomery County,Alabama,76.1656562262215,01,101,127500.0
Morgan County,Alabama,75.4261590776826,01,103,131000.0
Perry County,Alabama,72.770250342339,01,105,65900.0
Pickens County,Alabama,74.6249282141329,01,107,97500.0
Pike County,Alabama,75.0187640137986,01,109,117400.0
Randolph County,Alabama,74.3982802569113,01,111,88700.0
Russell County,Alabama,73.6803490665368,01,113,118600.0
Saint Clair County,Alabama,75.0107121083288,01,115,148200.0
Shelby County,Alabama,80.205250224518,01,117,204500.0
Sumter County,Alabama,74.7139987528402,01,119,74600.0
Talladega County,Alabama,73.5793518144223,01,121,101800.0
Tallapoosa County,Alabama,74.9365477647865,01,123,107800.0
Tuscaloosa County,Alabama,76.5059658159458,01,125,166000.0
Walker County,Alabama,70.5636130208947,01,127,93100.0
Washington County,Alabama,74.6032396661542,01,129,85200.0
Wilcox County,Alabama,71.5241341237713,01,131,82200.0
Winston County,Alabama,74.7102062206126,01,133,87800.0
Anchorage Municipality,Alaska,79.167117979683,02,020,308000.0
Bethel Census Area,Alaska,72.53346154146,02,050,110200.0
Bristol Bay Borough,Alaska,76.2417287283227,02,060,179500.0
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,236800.0
Haines Borough,Alaska,82.3340851154886,02,100,258100.0
Juneau City and Borough,Alaska,80.7356793660287,02,110,344000.0
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,239800.0
Kodiak Island Borough,Alaska,80.3116543907809,02,150,275000.0
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,243000.0
Nome Census Area,Alaska,70.7530594988732,02,180,149600.0
North Slope Borough,Alaska,75.8434189819725,02,185,143000.0
Sitka City and Borough,Alaska,80.454277274944,02,220,349300.0
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,184000.0
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,229800.0
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,131400.0
Aleutians East Borough,Alaska,84.54019994971,02,013,123000.0
Aleutians West Census Area,Alaska,84.54019994971,02,016,247900.0
Dillingham Census Area,Alaska,74.2728982123458,02,070,183200.0
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,120200.0
Denali Borough,Alaska,74.5030411727533,02,068,203500.0
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,77700.0
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,228500.0
Skagway Municipality,Alaska,81.2101394560811,02,230,314500.0
Yakutat City and Borough,Alaska,81.2101394560811,02,282,169300.0
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,272300.0
Petersburg Borough,Alaska,79.3321255610105,02,195,213100.0
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,172700.0
Wrangell City and Borough,Alaska,79.3321255610105,02,275,212600.0
Apache County,Arizona,72.3010290005178,04,001,62300.0
Cochise County,Arizona,77.8408033972637,04,003,143800.0
Coconino County,Arizona,78.8052809079821,04,005,261300.0
Gila County,Arizona,74.3746289869468,04,007,157600.0
Graham County,Arizona,77.1556460234304,04,009,127000.0
Greenlee County,Arizona,78.3645024836664,04,011,82400.0
Maricopa County,Arizona,79.7386604099472,04,013,242700.0
Mohave County,Arizona,75.0984065448903,04,015,151100.0
Navajo County,Arizona,73.7972740690661,04,017,118800.0
Pima County,Arizona,78.7518294309296,04,019,173500.0
Pinal County,Arizona,81.2155424915528,04,021,169800.0
Santa Cruz County,Arizona,81.7071020187176,04,023,148500.0
Yavapai County,Arizona,78.051524295411,04,025,231600.0
La Paz County,Arizona,81.2378999209795,04,012,77600.0
Yuma County,Arizona,81.2378999209795,04,027,122000.0
Arkansas County,Arkansas,73.699664085667,05,001,83600.0
Ashley County,Arkansas,74.0622583712188,05,003,71500.0
Baxter County,Arkansas,76.0355516425297,05,005,128800.0
Benton County,Arkansas,79.5515977691344,05,007,172000.0
Boone County,Arkansas,76.2920818267331,05,009,124900.0
Bradley County,Arkansas,73.9154085027933,05,011,77800.0
Calhoun County,Arkansas,74.7753643476493,05,013,69400.0
Carroll County,Arkansas,77.2088767175722,05,015,126800.0
Chicot County,Arkansas,73.4191359082146,05,017,63000.0
Clark County,Arkansas,75.9107071055062,05,019,100900.0
Clay County,Arkansas,73.0282818142332,05,021,72400.0
Cleburne County,Arkansas,75.8897883042267,05,023,132400.0
Cleveland County,Arkansas,74.9601675422995,05,025,83000.0
Columbia County,Arkansas,74.3920918341417,05,027,82800.0
Conway County,Arkansas,74.8124099395122,05,029,101400.0
Craighead County,Arkansas,76.2618331131667,05,031,138500.0
Crawford County,Arkansas,76.0303039795828,05,033,116900.0
Crittenden County,Arkansas,72.9678543864573,05,035,110500.0
Cross County,Arkansas,73.2798919731548,05,037,83600.0
Dallas County,Arkansas,73.7130043686649,05,039,66600.0
Desha County,Arkansas,72.7276609628183,05,041,62800.0
Drew County,Arkansas,75.2211103202167,05,043,97600.0
Faulkner County,Arkansas,76.5427391151303,05,045,157600.0
Franklin County,Arkansas,74.6633798673886,05,047,94200.0
Fulton County,Arkansas,75.0726412158052,05,049,93500.0
Garland County,Arkansas,74.6917741981376,05,051,138400.0
Grant County,Arkansas,75.3837861639195,05,053,127100.0
Greene County,Arkansas,74.2408679220059,05,055,113100.0
Hempstead County,Arkansas,75.3276249243193,05,057,79400.0
Hot Spring County,Arkansas,74.4739215374817,05,059,91900.0
Howard County,Arkansas,74.2175286904666,05,061,92500.0
Independence County,Arkansas,75.9418583152842,05,063,105200.0
Izard County,Arkansas,75.4317695846984,05,065,81500.0
Jackson County,Arkansas,73.3266666408661,05,067,66900.0
Jefferson County,Arkansas,73.3590923821139,05,069,83800.0
Johnson County,Arkansas,75.8064818743859,05,071,98900.0
Lafayette County,Arkansas,74.6587982386832,05,073,63300.0
Lawrence County,Arkansas,74.0656088368156,05,075,75700.0
Lee County,Arkansas,73.3490156735839,05,077,72700.0
Lincoln County,Arkansas,75.1131078790431,05,079,74400.0
Little River County,Arkansas,74.1807882572467,05,081,72200.0
Logan County,Arkansas,74.4320848649481,05,083,90200.0
Lonoke County,Arkansas,74.9345664780834,05,085,136200.0
Madison County,Arkansas,75.5976399371591,05,087,107200.0
Marion County,Arkansas,75.4429778062734,05,089,119000.0
Miller County,Arkansas,74.6268522519816,05,091,106500.0
Mississippi County,Arkansas,71.4920842695116,05,093,82700.0
Monroe County,Arkansas,72.4674227246369,05,095,64300.0
Montgomery County,Arkansas,75.793052336322,05,097,106700.0
Nevada County,Arkansas,74.2958611849283,05,099,64500.0
Newton County,Arkansas,77.1907959033018,05,101,105100.0
Ouachita County,Arkansas,73.0491101838795,05,103,72200.0
Perry County,Arkansas,75.0236567504255,05,105,95400.0
Phillips County,Arkansas,71.1931915908736,05,107,68200.0
Pike County,Arkansas,75.0824421118564,05,109,82300.0
Poinsett County,Arkansas,71.3031716770786,05,111,75500.0
Polk County,Arkansas,75.2198849618385,05,113,90100.0
Pope County,Arkansas,76.6203759107694,05,115,125000.0
Prairie County,Arkansas,75.966819358482,05,117,68000.0
Pulaski County,Arkansas,76.0611102581848,05,119,153700.0
Randolph County,Arkansas,74.3973999793014,05,121,82400.0
Saint Francis County,Arkansas,74.1021367670649,05,123,63300.0
Saline County,Arkansas,77.1843392125055,05,125,151700.0
Scott County,Arkansas,74.7730329022547,05,127,72800.0
Searcy County,Arkansas,75.2517345364764,05,129,98000.0
Sebastian County,Arkansas,75.9956131141566,05,131,119900.0
Sevier County,Arkansas,75.4897788457826,05,133,79200.0
Sharp County,Arkansas,73.8772637972242,05,135,81000.0
Stone County,Arkansas,76.1304929728617,05,137,113900.0
Union County,Arkansas,73.4174077792713,05,139,82800.0
